Date,Teams_Result,JerseyNo,Player,Position,Goals,Penalties,YellowCards,RedCards,IsSubstitute,Temperature,Humidity,Precipitation,WindSpeed,Pressure,Position_Encoded,Match_Result,Match_Result_Encoded,Player_Avg_Goals,Substitute_Goals_Interaction,Weather_Condition
2021-09-11,Leicester City 0:1 Manchester City,56,CJ Egan-Riley,Defender/Midfielder,0,0,0,0,0,0.7481481481481481,0.6896551724137931,0.0,0.8876689189189192,0.5531267293857222,1,Win,2,0.5416666666666666,0,0.5991439148542343
2021-09-18,Manchester City 0:0 Southampton,56,CJ Egan-Riley,Defender/Midfielder,0,0,0,0,0,0.7481481481481481,0.6896551724137931,0.0,0.8876689189189192,0.5531267293857222,1,Draw,0,0.0,0,0.5991439148542343
2021-09-18,Manchester City 0:0 Southampton,56,CJ Egan-Riley,Defender/Midfielder,0,0,0,0,1,0.7481481481481481,0.6896551724137931,0.0,0.8876689189189192,0.5531267293857222,1,Draw,0,0.0,0,0.5991439148542343
2021-08-21,Manchester City 5:0 Norwich City,80,Cole Palmer,Midfielder/Forward,0,0,0,0,0,0.9999999999999999,1.0,0.0,0.37331081081081097,0.7542888765910347,5,Win,2,0.0,0,1.0
2021-08-21,Manchester City 5:0 Norwich City,80,Cole Palmer,Midfielder/Forward,2,0,0,0,0,0.9999999999999999,1.0,0.0,0.37331081081081097,0.7542888765910347,5,Win,2,0.0,0,1.0
2021-08-28,Manchester City 5:0 Arsenal,80,Cole Palmer,Midfielder/Forward,1,0,0,0,0,0.9999999999999999,1.0,0.0,0.37331081081081097,0.7542888765910347,5,Win,2,1.0,0,1.0
2021-09-11,Leicester City 0:1 Manchester City,80,Cole Palmer,Midfielder/Forward,0,0,0,0,0,0.7481481481481481,0.6896551724137931,0.0,0.8876689189189192,0.5531267293857222,5,Win,2,1.0,0,0.5991439148542343
2021-12-14,Manchester City 7:0 Leeds United,80,Cole Palmer,Midfielder/Forward,0,0,0,0,1,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,5,Win,2,0.75,0,0.006427065658902789
2021-12-26,Manchester City 6:3 Leicester City,80,Cole Palmer,Midfielder/Forward,0,0,0,0,1,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,5,Win,2,0.6,0,0.006427065658902789
2021-12-29,Brentford 0:1 Manchester City,80,Cole Palmer,Midfielder/Forward,0,0,0,0,1,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,5,Win,2,0.5,0,0.006427065658902789
2022-01-15,Manchester City 1:0 Chelsea,80,Cole Palmer,Midfielder/Forward,0,0,0,0,1,0.0,0.021943573667711602,1.0,0.16610360360360363,0.04095185390149417,5,Win,2,0.42857142857142855,0,0.0
2022-02-19,Manchester City 2:3 Tottenham Hotspur,80,Cole Palmer,Midfielder/Forward,0,0,0,0,1,0.17160493827160483,0.0,0.641025641025641,0.8139076576576579,0.31322634200332045,5,Loss,1,0.375,0,0.01591127221622364
2022-04-02,Burnley 0:2 Manchester City,80,Cole Palmer,Midfielder/Forward,0,0,0,0,1,0.5074074074074074,0.18808777429467094,0.41025641025641024,0.0,0.7844493635860541,5,Win,2,0.3333333333333333,0,0.17376857421975425
2022-04-10,Manchester City 2:2 Liverpool,80,Cole Palmer,Midfielder/Forward,0,0,0,0,1,0.5074074074074074,0.18808777429467094,0.41025641025641024,0.0,0.7844493635860541,5,Draw,0,0.3,0,0.17376857421975425
2021-08-21,Manchester City 5:0 Norwich City,31,Ederson,Goalkeeper,0,0,0,0,0,0.9999999999999999,1.0,0.0,0.37331081081081097,0.7542888765910347,3,Win,2,0.2727272727272727,0,1.0
2021-09-11,Leicester City 0:1 Manchester City,31,Ederson,Goalkeeper,0,0,0,0,0,0.7481481481481481,0.6896551724137931,0.0,0.8876689189189192,0.5531267293857222,3,Win,2,0.0,0,0.5991439148542343
2021-09-25,Chelsea 0:1 Manchester City,31,Ederson,Goalkeeper,0,0,0,0,0,0.7481481481481481,0.6896551724137931,0.0,0.8876689189189192,0.5531267293857222,3,Win,2,0.0,0,0.5991439148542343
2021-10-16,Manchester City 2:0 Burnley,31,Ederson,Goalkeeper,0,0,0,0,0,0.3580246913580245,0.34482758620689663,0.15384615384615385,0.9667792792792796,0.2335362479247371,3,Win,2,0.0,0,0.21945001456801547
2021-10-23,Brighton and Hove Albion 1:4 Manchester City,31,Ederson,Goalkeeper,0,0,0,0,0,0.3580246913580245,0.34482758620689663,0.15384615384615385,0.9667792792792796,0.2335362479247371,3,Win,2,0.0,0,0.21945001456801547
2021-10-30,Manchester City 0:2 Crystal Palace,31,Ederson,Goalkeeper,0,0,0,0,0,0.3580246913580245,0.34482758620689663,0.15384615384615385,0.9667792792792796,0.2335362479247371,3,Loss,1,0.0,0,0.21945001456801547
2021-11-06,Manchester United 0:2 Manchester City,31,Ederson,Goalkeeper,0,0,0,0,0,0.01975308641975293,0.09717868338558,0.7179487179487181,1.0000000000000002,0.0,3,Win,2,0.0,0,0.02776492364645998
2021-11-28,Manchester City 2:1 West Ham United,31,Ederson,Goalkeeper,0,0,0,0,0,0.01975308641975293,0.09717868338558,0.7179487179487181,1.0000000000000002,0.0,3,Win,2,0.0,0,0.02776492364645998
2021-12-01,Aston Villa 1:2 Manchester City,31,Ederson,Goalkeeper,0,0,1,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,3,Win,2,0.0,0,0.006427065658902789
2021-12-04,Watford 1:3 Manchester City,31,Ederson,Goalkeeper,0,0,0,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,3,Win,2,0.0,0,0.006427065658902789
2021-12-14,Manchester City 7:0 Leeds United,31,Ederson,Goalkeeper,0,0,0,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,3,Win,2,0.0,0,0.006427065658902789
2021-12-19,Newcastle United 0:4 Manchester City,31,Ederson,Goalkeeper,0,0,0,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,3,Win,2,0.0,0,0.006427065658902789
2021-12-26,Manchester City 6:3 Leicester City,31,Ederson,Goalkeeper,0,0,0,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,3,Win,2,0.0,0,0.006427065658902789
2021-12-29,Brentford 0:1 Manchester City,31,Ederson,Goalkeeper,0,0,0,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,3,Win,2,0.0,0,0.006427065658902789
2022-01-22,Southampton 1:1 Manchester City,31,Ederson,Goalkeeper,0,0,0,0,0,0.0,0.021943573667711602,1.0,0.16610360360360363,0.04095185390149417,3,Draw,0,0.0,0,0.0
2022-02-12,Norwich City 0:4 Manchester City,31,Ederson,Goalkeeper,0,0,0,0,0,0.17160493827160483,0.0,0.641025641025641,0.8139076576576579,0.31322634200332045,3,Win,2,0.0,0,0.01591127221622364
2022-02-19,Manchester City 2:3 Tottenham Hotspur,31,Ederson,Goalkeeper,0,0,0,0,0,0.17160493827160483,0.0,0.641025641025641,0.8139076576576579,0.31322634200332045,3,Loss,1,0.0,0,0.01591127221622364
2022-02-26,Everton 0:1 Manchester City,31,Ederson,Goalkeeper,0,0,0,0,0,0.17160493827160483,0.0,0.641025641025641,0.8139076576576579,0.31322634200332045,3,Win,2,0.0,0,0.01591127221622364
2022-03-06,Manchester City 4:1 Manchester United,31,Ederson,Goalkeeper,0,0,0,0,0,0.22716049382716041,0.0595611285266458,0.6153846153846154,0.4408783783783784,0.5196458218040951,3,Win,2,0.0,0,0.049874029513085505
2022-03-14,Crystal Palace 0:0 Manchester City,31,Ederson,Goalkeeper,0,0,0,0,0,0.22716049382716041,0.0595611285266458,0.6153846153846154,0.4408783783783784,0.5196458218040951,3,Draw,0,0.0,0,0.049874029513085505
2022-04-02,Burnley 0:2 Manchester City,31,Ederson,Goalkeeper,0,0,0,0,0,0.5074074074074074,0.18808777429467094,0.41025641025641024,0.0,0.7844493635860541,3,Win,2,0.0,0,0.17376857421975425
2022-04-10,Manchester City 2:2 Liverpool,31,Ederson,Goalkeeper,0,0,0,0,0,0.5074074074074074,0.18808777429467094,0.41025641025641024,0.0,0.7844493635860541,3,Draw,0,0.0,0,0.17376857421975425
2022-04-20,Manchester City 3:0 Brighton and Hove Albion,31,Ederson,Goalkeeper,0,0,0,0,0,0.5074074074074074,0.18808777429467094,0.41025641025641024,0.0,0.7844493635860541,3,Win,2,0.0,0,0.17376857421975425
